
"Tally by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x02","0x04","0x05","0x06","0x07","0x09","0x0A","0x0D","0x0F","0x10","0x12","0x13","0x14","0x16","0x18","0x28","0x2E","0x2F","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x5F","0x60","0x61","0x62","0x63","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x82","0x87","0x9C","0xC0","0xC1","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","2","4","5","6","7","9","10","13","15","16","18","19","20","22","24","40","46","47","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","PUSH15","PUSH16","NOP","JMP","JMPIF","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","SIZE","EQUAL","NUMEQUAL","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1"
"D:\repos\examples-csharp\NPCdApp\NPCdApp.cs","0","// No source code available","730","644","2","11","14","1","6","4","2","3","5","1","2","2","1","1","38","1","2","3","708","1089","530","180","181","94","126","65","32","34","6","5","4","2","6","2","1667","261","1","21","185","95","1965","1965","38","192","2176","4","615","128","912","1","6","16","6","1","1603","1066","266","12"
"","","Tally by Opcode>","730","644","2","11","14","1","6","4","2","3","5","1","2","2","1","1","38","1","2","3","708","1089","530","180","181","94","126","65","32","34","6","5","4","2","6","2","1667","261","1","21","185","95","1965","1965","38","192","2176","4","615","128","912","1","6","16","6","1","1603","1066","266","12"
"","","Total Tally>","17739"

"Costs by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x02","0x04","0x05","0x06","0x07","0x09","0x0A","0x0D","0x0F","0x10","0x12","0x13","0x14","0x16","0x18","0x28","0x2E","0x2F","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x5F","0x60","0x61","0x62","0x63","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x82","0x87","0x9C","0xC0","0xC1","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","2","4","5","6","7","9","10","13","15","16","18","19","20","22","24","40","46","47","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","PUSH15","PUSH16","NOP","JMP","JMPIF","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","SIZE","EQUAL","NUMEQUAL","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1"
"D:\repos\examples-csharp\NPCdApp\NPCdApp.cs","0","// No source code available","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.261","0","0.021","0.185","0.095","1.965","1.965","0.038","0.192","2.176","0.004","0.615","0.128","0.912","0","0.006","0.016","0.006","0","1.603","1.066","0.266","12"
"","","Costs by Opcode>","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.261","0","0.021","0.185","0.095","1.965","1.965","0.038","0.192","2.176","0.004","0.615","0.128","0.912","0","0.006","0.016","0.006","0","1.603","1.066","0.266","12"
"","","Total Cost>","23.52"
