
"Tally by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x1E","0x51","0x52","0x61","0x62","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x7A","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","30","PUSH1","PUSH2","NOP","JMP","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","ROLL","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1"
"D:\repos\examples-csharp\StorageGas16x32\Contract1.cs","0","// No source code available","17","16","1","3","19","50","1","1","32","20","20","16","1","19","2","17","2","1","16"
"","","Tally by Opcode>","17","16","1","3","19","50","1","1","32","20","20","16","1","19","2","17","2","1","16"
"","","Total Tally>","254"

"Costs by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x1E","0x51","0x52","0x61","0x62","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x7A","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","30","PUSH1","PUSH2","NOP","JMP","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","ROLL","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1"
"D:\repos\examples-csharp\StorageGas16x32\Contract1.cs","0","// No source code available","0","0","0","0","0","0","0","0","0.032","0.02","0.02","0.016","0","0.019","0.002","0.017","0.002","0","16"
"","","Costs by Opcode>","0","0","0","0","0","0","0","0","0.032","0.02","0.02","0.016","0","0.019","0.002","0.017","0.002","0","16"
"","","Total Cost>","16.128"
