
"Tally by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x02","0x08","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x61","0x62","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x7A","0x7C","0x7E","0x82","0x93","0x9C","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","2","8","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","NOP","JMP","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","ROLL","SWAP","CAT","SIZE","ADD","NUMEQUAL","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1"
"D:\repos\examples-csharp\StructExample3Combined\StructExample3Combined.cs","0","// No source code available","43","12","6","6","42","76","15","19","10","8","5","1","6","59","15","6","8","24","126","126","6","11","126","47","22","18","6","2","6","83","61","15","6"
"","","Tally by Opcode>","43","12","6","6","42","76","15","19","10","8","5","1","6","59","15","6","8","24","126","126","6","11","126","47","22","18","6","2","6","83","61","15","6"
"","","Total Tally>","1022"

"Costs by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x02","0x08","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x61","0x62","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x7A","0x7C","0x7E","0x82","0x93","0x9C","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","2","8","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","NOP","JMP","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","ROLL","SWAP","CAT","SIZE","ADD","NUMEQUAL","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1"
"D:\repos\examples-csharp\StructExample3Combined\StructExample3Combined.cs","0","// No source code available","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.015","0.006","0.008","0.024","0.126","0.126","0.006","0.011","0.126","0.047","0.022","0.018","0.006","0.002","0.006","0.083","0.061","0.015","6"
"","","Costs by Opcode>","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.015","0.006","0.008","0.024","0.126","0.126","0.006","0.011","0.126","0.047","0.022","0.018","0.006","0.002","0.006","0.083","0.061","0.015","6"
"","","Total Cost>","6.708"
